행정동,주택수,행정동코드,지역
창5동,8681,,
도봉1동,6964,,
도봉2동,9542,,
월계1동,7568,1135056000.0,서울특별시 노원구 월계1동
월계2동,11477,1135057000.0,서울특별시 노원구 월계2동
월계3동,12688,1135058000.0,서울특별시 노원구 월계3동
공릉2동,12923,1135060000.0,서울특별시 노원구 공릉2동
공릉2동,12923,1135060000.0,경기도 구리시 공릉2동
하계1동,10466,1135061100.0,서울특별시 노원구 하계1동
하계2동,8160,1135061200.0,서울특별시 노원구 하계2동
중계본동,8088,1135061900.0,서울특별시 노원구 중계본동
중계1동,8743,1135062100.0,서울특별시 노원구 중계1동
중계4동,7706,1135062400.0,서울특별시 노원구 중계4동
상계1동,13410,1135063000.0,서울특별시 노원구 상계1동
상계2동,6042,1135064000.0,서울특별시 노원구 상계2동
상계5동,7347,1135067000.0,서울특별시 노원구 상계5동
상계8동,9090,1135070000.0,서울특별시 노원구 상계8동
상계9동,8260,1135071000.0,서울특별시 노원구 상계9동
상계10동,6422,1135072000.0,서울특별시 노원구 상계10동
상계3.4동,9292,1135066500.0,서울특별시 노원구 상계3.4동
상계6.7동,13648,1135069500.0,서울특별시 노원구 상계6.7동
중계2.3동,14301,1135062500.0,서울특별시 노원구 중계2.3동
공릉1동,13582,1135059500.0,서울특별시 노원구 공릉1동
녹번동,12546,1138051000.0,서울특별시 은평구 녹번동
불광1동,13601,,
갈현1동,7330,,
갈현2동,9400,,
구산동,10543,1138056000.0,서울특별시 은평구 구산동
대조동,8662,1138057000.0,서울특별시 은평구 대조동
응암1동,7341,,
응암2동,9263,,
신사1동,9417,,
신사2동,6580,,
증산동,4864,1138064000.0,서울특별시 은평구 증산동
수색동,3114,1138065000.0,서울특별시 은평구 수색동
진관동,17146,1138069000.0,서울특별시 은평구 진관동
불광2동,8970,,
응암3동,6999,,
역촌동,14882,1138062500.0,서울특별시 은평구 역촌동
천연동,6081,1141052000.0,서울특별시 서대문구 천연동
홍제1동,8022,,
홍제3동,4969,,
홍제2동,4993,,
홍은1동,7308,,
홍은2동,9267,,
남가좌1동,5609,,
남가좌2동,8979,,
북가좌1동,6089,,
북가좌2동,10603,,
충현동,6573,1141056500.0,서울특별시 종로구 충현동
충현동,6573,1141056500.0,서울특별시 서대문구 충현동
북아현동,5298,1141055500.0,서울특별시 서대문구 북아현동
신촌동,5570,1141058500.0,서울특별시 서대문구 신촌동
신촌동,5570,1141058500.0,서울특별시 마포구 신촌동
연희동,11675,1141061500.0,서울특별시 서대문구 연희동
용강동,7309,1144059000.0,서울특별시 마포구 용강동
대흥동,3335,1144060000.0,서울특별시 마포구 대흥동
염리동,3186,1144061000.0,서울특별시 마포구 염리동
신수동,7508,1144063000.0,서울특별시 마포구 신수동
서교동,9189,1144066000.0,서울특별시 마포구 서교동
합정동,6319,1144068000.0,서울특별시 마포구 합정동
망원1동,7047,,
망원2동,6467,,
연남동,5648,1144071000.0,서울특별시 마포구 연남동
성산1동,6662,,
성산2동,13092,,
상암동,9956,1144074000.0,서울특별시 마포구 상암동
도화동,7170,1144058500.0,서울특별시 마포구 도화동
서강동,8454,1144065500.0,서울특별시 마포구 서강동
공덕동,11878,1144056500.0,서울특별시 마포구 공덕동
아현동,9091,1144055500.0,서울특별시 마포구 아현동
목1동,7768,1147051000.0,서울특별시 양천구 목1동
목2동,10552,1147052000.0,서울특별시 양천구 목2동
목3동,7164,1147053000.0,서울특별시 양천구 목3동
목4동,7503,1147054000.0,서울특별시 양천구 목4동
신월1동,6314,1147056000.0,서울특별시 양천구 신월1동
신월2동,7374,1147057000.0,서울특별시 양천구 신월2동
신월3동,4371,1147058000.0,서울특별시 양천구 신월3동
신월4동,6145,1147059000.0,서울특별시 양천구 신월4동
신월5동,4715,1147060000.0,서울특별시 양천구 신월5동
신월6동,5099,1147061000.0,서울특별시 양천구 신월6동
신월7동,8547,1147061100.0,서울특별시 양천구 신월7동
신정1동,6041,1147062000.0,서울특별시 양천구 신정1동
신정2동,6119,1147063000.0,서울특별시 양천구 신정2동
신정3동,15440,1147064000.0,서울특별시 양천구 신정3동
신정6동,7214,1147067000.0,서울특별시 양천구 신정6동
신정7동,10861,1147068000.0,서울특별시 양천구 신정7동
목5동,12391,1147055000.0,서울특별시 양천구 목5동
신정4동,10151,1147065000.0,서울특별시 양천구 신정4동
염창동,13248,1150051000.0,서울특별시 강서구 염창동
등촌1동,6384,,
등촌2동,7009,,
등촌3동,13522,,
화곡본동,12605,1150059000.0,서울특별시 강서구 화곡본동
화곡2동,6093,,
화곡3동,6665,,
화곡4동,7053,,
화곡6동,8085,,
화곡8동,9035,,
가양1동,7921,,
가양2동,7085,,
가양3동,7454,,
발산1동,12284,,
공항동,7888,1150062000.0,서울특별시 강서구 공항동
방화1동,13673,,
방화2동,7532,,
방화3동,9698,,
화곡1동,18754,,
우장산동,13395,1150061500.0,서울특별시 강서구 우장산동
신도림동,11124,1153051000.0,서울특별시 구로구 신도림동
구로1동,6820,,
구로3동,7361,,
구로4동,8483,,
구로5동,8740,,
고척1동,7405,,
고척2동,8142,,
개봉2동,11045,,
개봉3동,7266,,
오류1동,6927,,
오류2동,13985,,
수궁동,8840,1153079000.0,서울특별시 구로구 수궁동
가리봉동,2551,1153059500.0,서울특별시 구로구 가리봉동
구로2동,7183,,
개봉1동,10967,,
항동,6173,,
가산동,6200,1154551000.0,서울특별시 금천구 가산동
독산1동,13038,,
독산2동,4931,,
독산3동,6967,,
독산4동,3946,,
시흥1동,10181,,
시흥2동,7981,,
시흥3동,4077,,
시흥4동,5976,,
시흥5동,5507,,
여의동,10202,1156054000.0,서울특별시 영등포구 여의동
당산1동,5770,,
당산2동,10563,,
양평1동,4229,,
양평2동,7115,,
신길1동,4280,,
신길3동,4739,,
신길4동,3725,,
신길5동,2301,,
신길6동,5043,,
신길7동,6690,,
대림1동,4052,,
대림2동,4241,,
대림3동,7375,,
영등포본동,6404,1156051500.0,서울특별시 영등포구 영등포본동
영등포동,7586,1156053500.0,서울특별시 영등포구 영등포동
도림동,4005,1156058500.0,서울특별시 영등포구 도림동
문래동,9046,1156060500.0,서울특별시 영등포구 문래동
노량진2동,2752,,
상도1동,14737,,
상도2동,9039,,
상도3동,7246,,
상도4동,8275,,
사당1동,5780,,
사당3동,7759,,
사당4동,4080,,
사당5동,3515,,
대방동,11808,1159066000.0,서울특별시 동작구 대방동
신대방1동,6538,,
신대방2동,5520,,
흑석동,9613,1159060500.0,서울특별시 동작구 흑석동
노량진1동,10612,,
사당2동,8341,,
보라매동,6221,1162052500.0,서울특별시 관악구 보라매동
청림동,5263,1162054500.0,서울특별시 관악구 청림동
행운동,7088,1162057500.0,서울특별시 관악구 행운동
낙성대동,3543,1162058500.0,서울특별시 관악구 낙성대동
중앙동,3591,1162061500.0,서울특별시 관악구 중앙동
인헌동,6849,1162062500.0,서울특별시 관악구 인헌동
남현동,5277,1162063000.0,서울특별시 동작구 남현동
남현동,5277,1162063000.0,서울특별시 관악구 남현동
서원동,5454,1162064500.0,서울특별시 관악구 서원동
신원동,3858,1162065500.0,서울특별시 관악구 신원동
서림동,5152,1162066500.0,서울특별시 관악구 서림동
