기준_년분기_코드,행정동_코드,행정동_코드_명,사고 다발 횟수
20233,11290525,성북동,0
20233,11740660,성내3동,0
20233,11740650,성내2동,0
20233,11740640,성내1동,2
20233,11710600,석촌동,0
20233,11290810,석관동,0
20233,11650531,서초4동,0
20233,11650530,서초3동,0
20233,11650520,서초2동,0
20233,11650510,서초1동,0
20233,11620645,서원동,0
20233,11170690,서빙고동,0
20233,11620665,서림동,0
20233,11440660,서교동,1
20233,11440655,서강동,0
20233,11740520,상일동,0
20233,11440740,상암동,0
20233,11260590,상봉2동,0
20233,11260580,상봉1동,3
20233,11590560,상도4동,0
20233,11590550,상도3동,0
20233,11590540,상도2동,0
20233,11590530,상도1동,0
20233,11350710,상계9동,0
20233,11350700,상계8동,0
20233,11350695,상계6?7동,1
20233,11350670,상계5동,0
20233,11350665,상계3?4동,2
20233,11350640,상계2동,0
20233,11350630,상계1동,0
20233,11350720,상계10동,0
20233,11110540,삼청동,0
20233,11710610,삼전동,0
20233,11305534,삼양동,0
20233,11620745,삼성동,0
20233,11680590,삼성2동,0
20233,11680580,삼성1동,0
20233,11290555,삼선동,0
20233,11305575,삼각산동,0
20233,11110530,사직동,0
20233,11590651,사당5동,0
20233,11590650,사당4동,0
20233,11590640,사당3동,1
20233,11590630,사당2동,1
20233,11590620,사당1동,0
20233,11200550,사근동,1
20233,11380530,불광2동,0
20233,11380520,불광1동,0
20233,11410555,북아현동,0
20233,11410720,북가좌2동,1
20233,11410710,북가좌1동,0
20233,11110550,부암동,0
20233,11290610,보문동,0
20233,11620525,보라매동,0
20233,11170700,보광동,0
20233,11305608,번3동,0
20233,11305603,번2동,0
20233,11305595,번1동,0
20233,11500641,방화3동,0
20233,11500640,방화2동,0
20233,11500630,방화1동,0
20233,11320710,방학3동,0
20233,11320700,방학2동,0
20233,11320690,방학1동,0
20233,11710562,방이2동,1
20233,11710561,방이1동,0
20233,11650590,방배본동,0
20233,11650621,방배4동,0
20233,11650620,방배3동,0
20233,11650610,방배2동,0
20233,11650600,방배1동,0
20233,11500611,발산1동,1
20233,11650550,반포본동,0
20233,11650581,반포4동,0
20233,11650580,반포3동,0
20233,11650570,반포2동,0
20233,11650560,반포1동,0
20233,11305535,미아동,1
20233,11620765,미성동,0
20233,11710642,문정2동,1
20233,11710641,문정1동,0
20233,11560605,문래동,1
20233,11260630,묵2동,0
20233,11260620,묵1동,0
20233,11110570,무악동,0
20233,11470550,목5동,0
20233,11470540,목4동,0
20233,11470530,목3동,0
20233,11470520,목2동,0
20233,11470510,목1동,1
20233,11740540,명일2동,0
20233,11740530,명일1동,0
20233,11140550,명동,0
20233,11260565,면목본동,0
20233,11260570,면목7동,0
20233,11260550,면목5동,0
20233,11260540,면목4동,1
20233,11260575,면목3?8동,2
20233,11260520,면목2동,1
20233,11440700,망원2동,1
20233,11440690,망원1동,0
20233,11260655,망우본동,0
20233,11260660,망우3동,0
20233,11710550,마천2동,0
20233,11710540,마천1동,0
20233,11200540,마장동,0
20233,11500535,등촌3동,0
20233,11500530,등촌2동,0
20233,11500520,등촌1동,0
20233,11740700,둔촌2동,1
20233,11740690,둔촌1동,0
20233,11140665,동화동,0
20233,11290575,동선동,0
20233,11290590,돈암2동,0
20233,11290580,돈암1동,0
20233,11545640,독산4동,0
20233,11545630,독산3동,0
20233,11545620,독산2동,0
20233,11545610,독산1동,0
20233,11440585,도화동,0
20233,11320522,도봉2동,0
20233,11320521,도봉1동,0
20233,11560585,도림동,0
20233,11680656,도곡2동,0
20233,11680655,도곡1동,0
20233,11440600,대흥동,0
20233,11620735,대학동,0
20233,11680630,대치4동,0
20233,11680610,대치2동,0
20233,11680600,대치1동,0
20233,11380570,대조동,0
20233,11590660,대방동,0
20233,11560720,대림3동,0
20233,11560710,대림2동,0
20233,11560700,대림1동,0
20233,11560560,당산2동,2
20233,11560550,당산1동,1
20233,11230610,답십리2동,0
20233,11230600,답십리1동,1
20233,11140625,다산동,0
20233,11215780,능동,0
20233,11680531,논현2동,0
20233,11680521,논현1동,0
20233,11380510,녹번동,0
20233,11590520,노량진2동,2
20233,11590510,노량진1동,1
20233,11650660,내곡동,0
20233,11620630,남현동,0
20233,11170530,남영동,0
20233,11410700,남가좌2동,0
20233,11410690,남가좌1동,0
20233,11620715,난향동,0
20233,11620775,난곡동,0
20233,11620585,낙성대동,0
20233,11290685,길음2동,0
20233,11290660,길음1동,0
20233,11740685,길동,0
20233,11200620,금호4가동,0
20233,11200615,금호2?3가동,0
20233,11200590,금호1가동,0
20233,11215730,군자동,0
20233,11215870,구의3동,0
20233,11215860,구의2동,0
20233,11215850,구의1동,0
20233,11380560,구산동,0
20233,11530560,구로5동,2
20233,11530550,구로4동,0
20233,11530540,구로3동,0
20233,11530530,구로2동,2
20233,11530520,구로1동,0
20233,11110580,교남동,0
20233,11140590,광희동,0
20233,11215810,광장동,0
20233,11500620,공항동,2
20233,11350600,공릉2동,0
20233,11350595,공릉1동,0
20233,11440565,공덕동,0
20233,11530730,고척2동,0
20233,11530720,고척1동,0
20233,11740560,고덕2동,0
20233,11740550,고덕1동,0
20233,11710532,거여2동,1
20233,11710531,거여1동,0
20233,11680690,개포4동,0
20233,11680670,개포2동,0
20233,11680660,개포1동,0
20233,11530760,개봉3동,0
20233,11530750,개봉2동,0
20233,11530740,개봉1동,0
20233,11740515,강일동,1
20233,11380552,갈현2동,1
20233,11380551,갈현1동,1
20233,11110600,가회동,0
20233,11500605,가양3동,0
20233,11500604,가양2동,0
20233,11500603,가양1동,0
20233,11545510,가산동,0
20233,11530595,가리봉동,0
20233,11710620,가락본동,2
20233,11710632,가락2동,0
20233,11710631,가락1동,0
