EMD_CD,DN
11110101,27.666666666666668
11110102,9.666666666666666
11110103,1.6666666666666667
11110104,1.0
11110105,0.6666666666666666
11110106,1.0
11110107,1.0
11110108,1.0
11110109,16.666666666666668
11110110,3.0
11110111,27.333333333333332
11110112,5.333333333333333
11110113,9.0
11110114,1.0
11110115,6.666666666666667
11110116,1.0
11110117,0.6666666666666666
11110118,1.0
11110119,3.3333333333333335
11110120,1.6666666666666667
11110121,10.666666666666666
11110122,0.3333333333333333
11110123,0.6666666666666666
11110124,1.3333333333333333
11110125,1.0
11110126,0.6666666666666666
11110127,0.3333333333333333
11110128,1.3333333333333333
11110129,2.0
11110130,6.0
11110131,3.0
11110132,0.6666666666666666
11110133,1.0
11110134,1.3333333333333333
11110135,0.6666666666666666
11110136,1.3333333333333333
11110137,0.6666666666666666
11110138,0.6666666666666666
11110139,2.6666666666666665
11110140,12.0
11110141,1.0
11110142,1.0
11110143,3.0
11110144,1.6666666666666667
11110145,4.0
11110146,7.333333333333333
11110147,1.3333333333333333
11110148,4.666666666666667
11110149,8.0
11110150,4.666666666666667
11110151,0.3333333333333333
11110152,1.6666666666666667
11110153,1.0
11110154,2.0
11110155,1.3333333333333333
11110156,0.0
11110157,1.0
11110158,1.0
11110159,3.6666666666666665
11110160,2.0
11110161,0.0
11110162,0.3333333333333333
11110163,0.0
11110164,1.6666666666666667
11110165,3.3333333333333335
11110166,4.0
11110167,2.0
11110168,6.666666666666667
11110169,4.0
11110170,10.333333333333334
11110171,7.0
11110172,3.0
11110173,10.666666666666666
11110174,9.666666666666666
11110175,8.0
11110176,1.3333333333333333
11110177,4.0
11110178,9.0
11110179,6.0
11110180,5.333333333333333
11110181,9.333333333333334
11110182,21.666666666666668
11110183,13.333333333333334
11110184,17.0
11110185,17.666666666666668
11110186,22.666666666666668
11110187,20.0
11140101,0.6666666666666666
11140102,0.0
11140103,2.0
11140104,0.3333333333333333
11140105,1.0
11140106,0.0
11140107,0.6666666666666666
11140108,1.0
11140109,0.3333333333333333
11140110,1.6666666666666667
11140111,1.3333333333333333
11140112,2.3333333333333335
11140113,0.6666666666666666
11140114,1.0
11140115,0.0
11140116,1.0
11140117,1.3333333333333333
11140118,7.0
11140119,2.0
11140120,1.0
11140121,8.0
11140122,2.6666666666666665
11140123,2.0
11140124,1.6666666666666667
11140125,1.3333333333333333
11140126,0.6666666666666666
11140127,6.666666666666667
11140128,1.6666666666666667
11140129,5.666666666666667
11140130,6.0
11140131,2.3333333333333335
11140132,1.0
11140133,2.6666666666666665
11140134,1.3333333333333333
11140135,1.0
11140136,4.0
11140137,4.666666666666667
11140138,3.0
11140139,9.333333333333334
11140140,8.0
11140141,3.0
11140142,12.666666666666666
11140143,2.0
11140144,9.333333333333334
11140145,1.0
11140146,3.6666666666666665
11140147,2.3333333333333335
11140148,1.3333333333333333
11140149,3.3333333333333335
11140150,1.0
11140151,0.3333333333333333
11140152,0.3333333333333333
11140153,0.0
11140154,1.6666666666666667
11140155,0.6666666666666666
11140156,1.0
11140157,1.3333333333333333
11140158,1.6666666666666667
11140159,1.0
11140160,1.0
11140161,2.0
11140162,11.333333333333334
11140163,0.6666666666666666
11140164,0.3333333333333333
11140165,2.6666666666666665
11140166,3.0
11140167,5.0
11140168,2.0
11140169,1.3333333333333333
11140170,2.3333333333333335
11140171,3.6666666666666665
11140172,4.333333333333333
11140173,10.0
11140174,6.666666666666667
11170101,12.0
11170102,12.666666666666666
11170103,5.666666666666667
11170104,5.666666666666667
11170105,0.6666666666666666
11170106,1.3333333333333333
11170107,5.0
11170108,7.666666666666667
11170109,11.666666666666666
11170110,7.666666666666667
11170111,8.666666666666666
11170112,6.0
11170113,1.3333333333333333
11170114,8.0
11170115,17.333333333333332
11170116,9.333333333333334
11170117,2.3333333333333335
11170118,9.0
11170119,9.0
11170120,7.0
11170121,2.6666666666666665
11170122,1.0
11170123,4.0
11170124,3.3333333333333335
11170125,2.0
11170126,2.3333333333333335
11170127,1.0
11170128,2.0
11170129,2.0
11170130,13.0
11170131,9.0
11170132,7.0
11170133,2.3333333333333335
11170134,5.333333333333333
11170135,3.0
11170136,4.666666666666667
11200101,5.0
11200102,4.0
11200103,3.3333333333333335
11200104,1.3333333333333333
11200105,8.666666666666666
11200106,9.666666666666666
11200107,5.333333333333333
11200108,8.0
11200109,4.666666666666667
11200110,10.666666666666666
11200111,10.0
11200112,12.0
11200113,7.666666666666667
11200114,7.0
11200115,2.6666666666666665
11200118,3.0
11200122,6.333333333333333
11215101,3.6666666666666665
11215102,4.333333333333333
11215103,3.6666666666666665
11215104,2.6666666666666665
11215105,5.0
11215107,2.0
