field_1,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,BusStationCount
124,11140138,Pildong 2(i)-ga,필동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
125,11140139,Pil-dong 3(sam)-ga,필동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
126,11140140,Namhak-dong,남학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
127,11140141,Juja-dong,주자동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
128,11140142,Yejang-dong,예장동,11140,Jung-gu,중구,11,Seoul,서울특별시,4
129,11140143,Jangchung-dong 1(il)-ga,장충동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
130,11140144,Jangchung-dong 2(i)-ga,장충동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,9
131,11140145,Gwanghui-dong 1(il)-ga,광희동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
132,11140146,Gwanghui-dong 2(i)-ga,광희동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
133,11140147,Ssangnim-dong,쌍림동,11140,Jung-gu,중구,11,Seoul,서울특별시,3
134,11140148,Euljiro 6(yuk)-ga,을지로6가,11140,Jung-gu,중구,11,Seoul,서울특별시,7
135,11140149,Euljiro 7(chil)-ga,을지로7가,11140,Jung-gu,중구,11,Seoul,서울특별시,5
136,11140150,Euljiro 4(sa)-ga,을지로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
137,11140151,Euljiro 5(o)-ga,을지로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
138,11140152,Jugyo-dong,주교동,11140,Jung-gu,중구,11,Seoul,서울특별시,2
139,11140153,Bangsan-dong,방산동,11140,Jung-gu,중구,11,Seoul,서울특별시,3
140,11140154,Ojang-dong,오장동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
141,11140155,Euljiro 3(sam)-ga,을지로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
142,11140156,Ipjeong-dong,입정동,11140,Jung-gu,중구,11,Seoul,서울특별시,1
143,11140157,Sallim-dong,산림동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
144,11140158,Chungmuro 3(sam)-ga,충무로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
145,11140159,Cho-dong,초동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
146,11140160,Inhyeon-dong 1(il)-ga,인현동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
147,11140161,Jeo-dong 2(i)-ga,저동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
148,11140162,Sindang-dong,신당동,11140,Jung-gu,중구,11,Seoul,서울특별시,43
149,11140163,Heungin-dong,흥인동,11140,Jung-gu,중구,11,Seoul,서울특별시,2
150,11140164,Muhak-dong,무학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
151,11140165,Hwanghak-dong,황학동,11140,Jung-gu,중구,11,Seoul,서울특별시,7
152,11140166,Seosomun-dong,서소문동,11140,Jung-gu,중구,11,Seoul,서울특별시,3
153,11140167,Jeong-dong,정동,11140,Jung-gu,중구,11,Seoul,서울특별시,4
154,11140168,Sunhwa-dong,순화동,11140,Jung-gu,중구,11,Seoul,서울특별시,2
155,11140169,Uijuro 1(il)-ga,의주로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,6
156,11140170,Chungjeongno 1(il)-ga,충정로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
157,11140171,Jungnim-dong,중림동,11140,Jung-gu,중구,11,Seoul,서울특별시,7
158,11140172,Uijuro 2(i)-ga,의주로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
159,11140173,Malli-dong 1(il)-ga,만리동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
160,11140174,Malli-dong 2(i)-ga,만리동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
161,11170101,Huam-dong,후암동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,17
162,11170102,yongsan-dong  2(i)-ga,용산동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,23
163,11170103,Yongsan-dong 4(sa)-ga,용산동4가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
164,11170104,Garwol-dong,갈월동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,10
165,11170105,Namyeong-dong,남영동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
166,11170106,Yongsan-dong 1(il)-ga,용산동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
167,11170107,Dongja-dong,동자동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,5
168,11170108,Seogye-dong,서계동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,8
169,11170109,Cheongpa-dong 1(il)-ga,청파동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
170,11170110,Cheongpa-dong 2(i)-ga,청파동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,10
171,11170111,Cheongpa-dong 3(sam)-ga,청파동3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
172,11170112,Wonhyoro 1(iI)-ga,원효로1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,8
173,11170113,Wonhyoro 2(i)-ga,원효로2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,7
174,11170114,Sinchang-dong,신창동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,4
175,11170115,Sancheon-dong,산천동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
176,11170116,Cheongam-dong,청암동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,4
177,11170117,Wonhyoro 3(sam)-ga,원효로3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,4
178,11170118,Wonhyoro 4(sa)-ga,원효로4가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,8
179,11170119,Hyochang-dong,효창동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,15
180,11170120,Dowon-dong,도원동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,6
181,11170121,Yongmun-dong,용문동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,11
182,11170122,Munbae-dong,문배동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,5
183,11170123,Singye-dong,신계동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,2
184,11170124,Hangangno 1(il)-ga,한강로1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,6
185,11170125,Hangangno 2(i)-ga,한강로2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,11
186,11170126,Yongsan-dong 3(sam)-ga,용산동3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,1
187,11170127,Yongsan-dong 5(o)-ga,용산동5가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
188,11170128,Hangangno 3(sam)-ga,한강로3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,21
189,11170129,Ichon-dong,이촌동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,32
190,11170130,Itaewon-dong,이태원동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,36
191,11170131,Hannam-dong,한남동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,39
192,11170132,Dongbinggo-dong,동빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,5
193,11170133,Seobinggo-dong,서빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,11
194,11170134,Juseong-dong,주성동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0
195,11170135,Yongsan-dong 6(yuk)-ga,용산동6가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,9
196,11170136,Bogwang-dong,보광동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,12
197,11200101,Sangwangsimni-dong,상왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,6
198,11200102,Hawangsimni-dong,하왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,26
199,11200103,Hongik-dong,홍익동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,3
200,11200104,Doseon-dong,도선동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,5
201,11200105,Majang-dong,마장동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,28
202,11200106,Sageun-dong,사근동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,25
203,11200107,Haengdang-dong,행당동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,67
204,11200108,Eungbong-dong,응봉동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,32
205,11200109,Geumho-dong1(il)-ga,금호동1가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,39
206,11200110,Geumho-dong2(i)-ga,금호동2가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,18
207,11200111,Geumho-dong3(sam)-ga,금호동3가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,20
208,11200112,Geumho-dong4(sa)-ga,금호동4가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,30
209,11200113,Oksu-dong,옥수동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,40
210,11200114,Seongsu-dong1(il)-ga,성수동1가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,44
211,11200115,Seongsu-dong2(i)-ga,성수동2가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,51
212,11200118,Songjeong-dong,송정동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,13
213,11200122,Yongdap-dong,용답동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,11
214,11215101,Junggok-dong,중곡동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,90
215,11215102,Neung-dong,능동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,8
216,11215103,Guui-dong,구의동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,57
217,11215104,Gwangjang-dong,광장동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,38
218,11215105,Jayang-dong,자양동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,61
219,11215107,Hwayang-dong,화양동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,20
220,11215109,Gunja-dong,군자동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,22
221,11230101,Sinseol-dong,신설동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,9
222,11230102,Yongdu-dong,용두동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,29
223,11230103,Jegi-dong,제기동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,27
224,11230104,Jeonnong-dong,전농동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,44
225,11230105,Dapsipni-dong,답십리동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,46
226,11230106,Jangan-dong,장안동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,60
227,11230107,Cheongnyangni-dong,청량리동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,24
228,11230108,Hoegi-dong,회기동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,8
229,11230109,Hwigyeong-dong,휘경동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,32
230,11230110,Imun-dong,이문동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,37
231,11260101,Myeonmok-dong,면목동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,123
232,11260102,Sangbong-dong,상봉동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,31
233,11260103,Junghwa-dong,중화동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,42
234,11260104,Muk-dong,묵동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,53
235,11260105,Mangu-dong,망우동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,67
236,11260106,Sinnae-dong,신내동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,72
237,11290101,Seongbuk-dong,성북동,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,37
238,11290102,Seongbuk-dong 1(il)-ga,성북동1가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,5
239,11290103,Donam-dong,돈암동,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,48
240,11290104,Dongsomun-dong 1(il)-ga,동소문동1가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,1
241,11290105,Dongsomun-dong 2(i)-ga,동소문동2가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,3
242,11290106,Dongsomun-dong 3(sam)-ga,동소문동3가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,2
243,11290107,Dongsomun-dong 4(sa)-ga,동소문동4가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,3
244,11290108,Dongsomun-dong 5(o)-ga,동소문동5가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,2
245,11290109,Dongsomun-dong 6(yuk)-ga,동소문동6가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,2
246,11290110,Dongsomun-dong 7(chil)-ga,동소문동7가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,3
247,11290111,Samseon-dong 1(il)-ga,삼선동1가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,5
248,11290112,Samseon-dong 2(i)-ga,삼선동2가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,13
249,11290113,Samseon-dong 3(sam)-ga,삼선동3가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,6
250,11290114,Samseon-dong 4(sa)-ga,삼선동4가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,3
251,11290115,Samseon-dong 5(o)-ga,삼선동5가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,5
252,11290116,Dongseon-dong 1(il)-ga,동선동1가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,3
253,11290117,Dongseon-dong 2(i)-ga,동선동2가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,6
254,11290118,Dongseon-dong 3(sam)-ga,동선동3가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,0
255,11290119,Dongseon-dong 4(sa)-ga,동선동4가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,1
256,11290120,Dongseon-dong 5(o)-ga,동선동5가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,1
257,11290121,Anam-dong 1(il)-ga,안암동1가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,3
258,11290122,Anam-dong 2(i)-ga,안암동2가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,7
259,11290123,Anam-dong 3(sam)-ga,안암동3가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,0
260,11290124,Anam-dong 4(sa)-ga,안암동4가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,1
261,11290125,Anam-dong 5(o)-ga,안암동5가,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,19
