id,left,top,right,bottom,row_index,col_index
1524,191189.761599999997998,537363.541699999943376,191689.761599999997998,536863.541699999943376,59,24
1522,191189.761599999997998,538363.541699999943376,191689.761599999997998,537863.541699999943376,57,24
1523,191189.761599999997998,537863.541699999943376,191689.761599999997998,537363.541699999943376,58,24
1520,191189.761599999997998,539363.541699999943376,191689.761599999997998,538863.541699999943376,55,24
1521,191189.761599999997998,538863.541699999943376,191689.761599999997998,538363.541699999943376,56,24
1518,191189.761599999997998,540363.541699999943376,191689.761599999997998,539863.541699999943376,53,24
1519,191189.761599999997998,539863.541699999943376,191689.761599999997998,539363.541699999943376,54,24
1516,191189.761599999997998,541363.541699999943376,191689.761599999997998,540863.541699999943376,51,24
1517,191189.761599999997998,540863.541699999943376,191689.761599999997998,540363.541699999943376,52,24
1514,191189.761599999997998,542363.541699999943376,191689.761599999997998,541863.541699999943376,49,24
1515,191189.761599999997998,541863.541699999943376,191689.761599999997998,541363.541699999943376,50,24
1512,191189.761599999997998,543363.541699999943376,191689.761599999997998,542863.541699999943376,47,24
1513,191189.761599999997998,542863.541699999943376,191689.761599999997998,542363.541699999943376,48,24
1510,191189.761599999997998,544363.541699999943376,191689.761599999997998,543863.541699999943376,45,24
1511,191189.761599999997998,543863.541699999943376,191689.761599999997998,543363.541699999943376,46,24
1508,191189.761599999997998,545363.541699999943376,191689.761599999997998,544863.541699999943376,43,24
1509,191189.761599999997998,544863.541699999943376,191689.761599999997998,544363.541699999943376,44,24
1506,191189.761599999997998,546363.541699999943376,191689.761599999997998,545863.541699999943376,41,24
1507,191189.761599999997998,545863.541699999943376,191689.761599999997998,545363.541699999943376,42,24
1504,191189.761599999997998,547363.541699999943376,191689.761599999997998,546863.541699999943376,39,24
1505,191189.761599999997998,546863.541699999943376,191689.761599999997998,546363.541699999943376,40,24
1502,191189.761599999997998,548363.541699999943376,191689.761599999997998,547863.541699999943376,37,24
1503,191189.761599999997998,547863.541699999943376,191689.761599999997998,547363.541699999943376,38,24
1500,191189.761599999997998,549363.541699999943376,191689.761599999997998,548863.541699999943376,35,24
1501,191189.761599999997998,548863.541699999943376,191689.761599999997998,548363.541699999943376,36,24
1498,191189.761599999997998,550363.541699999943376,191689.761599999997998,549863.541699999943376,33,24
1499,191189.761599999997998,549863.541699999943376,191689.761599999997998,549363.541699999943376,34,24
1496,191189.761599999997998,551363.541699999943376,191689.761599999997998,550863.541699999943376,31,24
1497,191189.761599999997998,550863.541699999943376,191689.761599999997998,550363.541699999943376,32,24
1494,191189.761599999997998,552363.541699999943376,191689.761599999997998,551863.541699999943376,29,24
1495,191189.761599999997998,551863.541699999943376,191689.761599999997998,551363.541699999943376,30,24
1492,191189.761599999997998,553363.541699999943376,191689.761599999997998,552863.541699999943376,27,24
1493,191189.761599999997998,552863.541699999943376,191689.761599999997998,552363.541699999943376,28,24
1490,191189.761599999997998,554363.541699999943376,191689.761599999997998,553863.541699999943376,25,24
1491,191189.761599999997998,553863.541699999943376,191689.761599999997998,553363.541699999943376,26,24
1488,191189.761599999997998,555363.541699999943376,191689.761599999997998,554863.541699999943376,23,24
1489,191189.761599999997998,554863.541699999943376,191689.761599999997998,554363.541699999943376,24,24
