시,구,행정동,주택수
서울시,은평구,신사2동,6580
서울시,은평구,증산동,4864
서울시,은평구,수색동,3114
서울시,은평구,진관동,17146
서울시,은평구,불광2동,8970
서울시,은평구,응암3동,6999
서울시,은평구,역촌동,14882
서울시,서대문구,소계,101036
서울시,서대문구,천연동,6081
서울시,서대문구,홍제1동,8022
서울시,서대문구,홍제3동,4969
서울시,서대문구,홍제2동,4993
서울시,서대문구,홍은1동,7308
서울시,서대문구,홍은2동,9267
서울시,서대문구,남가좌1동,5609
서울시,서대문구,남가좌2동,8979
서울시,서대문구,북가좌1동,6089
서울시,서대문구,북가좌2동,10603
서울시,서대문구,충현동,6573
서울시,서대문구,북아현동,5298
서울시,서대문구,신촌동,5570
서울시,서대문구,연희동,11675
서울시,마포구,소계,122311
서울시,마포구,용강동,7309
서울시,마포구,대흥동,3335
서울시,마포구,염리동,3186
서울시,마포구,신수동,7508
서울시,마포구,서교동,9189
서울시,마포구,합정동,6319
서울시,마포구,망원1동,7047
서울시,마포구,망원2동,6467
서울시,마포구,연남동,5648
서울시,마포구,성산1동,6662
서울시,마포구,성산2동,13092
서울시,마포구,상암동,9956
서울시,마포구,도화동,7170
서울시,마포구,서강동,8454
서울시,마포구,공덕동,11878
서울시,마포구,아현동,9091
서울시,양천구,소계,143769
서울시,양천구,목1동,7768
서울시,양천구,목2동,10552
서울시,양천구,목3동,7164
서울시,양천구,목4동,7503
서울시,양천구,신월1동,6314
서울시,양천구,신월2동,7374
서울시,양천구,신월3동,4371
서울시,양천구,신월4동,6145
서울시,양천구,신월5동,4715
서울시,양천구,신월6동,5099
서울시,양천구,신월7동,8547
서울시,양천구,신정1동,6041
서울시,양천구,신정2동,6119
서울시,양천구,신정3동,15440
서울시,양천구,신정6동,7214
서울시,양천구,신정7동,10861
서울시,양천구,목5동,12391
서울시,양천구,신정4동,10151
서울시,강서구,소계,195383
서울시,강서구,염창동,13248
서울시,강서구,등촌1동,6384
서울시,강서구,등촌2동,7009
서울시,강서구,등촌3동,13522
서울시,강서구,화곡본동,12605
서울시,강서구,화곡2동,6093
서울시,강서구,화곡3동,6665
서울시,강서구,화곡4동,7053
서울시,강서구,화곡6동,8085
서울시,강서구,화곡8동,9035
서울시,강서구,가양1동,7921
서울시,강서구,가양2동,7085
서울시,강서구,가양3동,7454
서울시,강서구,발산1동,12284
서울시,강서구,공항동,7888
서울시,강서구,방화1동,13673
서울시,강서구,방화2동,7532
서울시,강서구,방화3동,9698
서울시,강서구,화곡1동,18754
서울시,강서구,우장산동,13395
서울시,구로구,소계,133012
서울시,구로구,신도림동,11124
서울시,구로구,구로1동,6820
서울시,구로구,구로3동,7361
서울시,구로구,구로4동,8483
서울시,구로구,구로5동,8740
서울시,구로구,고척1동,7405
서울시,구로구,고척2동,8142
서울시,구로구,개봉2동,11045
서울시,구로구,개봉3동,7266
서울시,구로구,오류1동,6927
서울시,구로구,오류2동,13985
서울시,구로구,수궁동,8840
서울시,구로구,가리봉동,2551
서울시,구로구,구로2동,7183
서울시,구로구,개봉1동,10967
서울시,구로구,항동,6173
서울시,금천구,소계,68804
서울시,금천구,가산동,6200
서울시,금천구,독산1동,13038
서울시,금천구,독산2동,4931
서울시,금천구,독산3동,6967
서울시,금천구,독산4동,3946
서울시,금천구,시흥1동,10181
서울시,금천구,시흥2동,7981
서울시,금천구,시흥3동,4077
서울시,금천구,시흥4동,5976
서울시,금천구,시흥5동,5507
서울시,영등포구,소계,107366
서울시,영등포구,여의동,10202
서울시,영등포구,당산1동,5770
서울시,영등포구,당산2동,10563
서울시,영등포구,양평1동,4229
서울시,영등포구,양평2동,7115
서울시,영등포구,신길1동,4280
서울시,영등포구,신길3동,4739
서울시,영등포구,신길4동,3725
서울시,영등포구,신길5동,2301
서울시,영등포구,신길6동,5043
서울시,영등포구,신길7동,6690
서울시,영등포구,대림1동,4052
서울시,영등포구,대림2동,4241
서울시,영등포구,대림3동,7375
서울시,영등포구,영등포본동,6404
서울시,영등포구,영등포동,7586
서울시,영등포구,도림동,4005
서울시,영등포구,문래동,9046
서울시,동작구,소계,115615
서울시,동작구,노량진2동,2752
서울시,동작구,상도1동,14737
서울시,동작구,상도2동,9039
서울시,동작구,상도3동,7246
서울시,동작구,상도4동,8275
서울시,동작구,사당1동,5780
서울시,동작구,사당3동,7759
서울시,동작구,사당4동,4080
서울시,동작구,사당5동,3515
서울시,동작구,대방동,11808
서울시,동작구,신대방1동,6538
서울시,동작구,신대방2동,5520
서울시,동작구,흑석동,9613
서울시,동작구,노량진1동,10612
