기준_년분기_코드,행정동_코드,행정동_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20233,11620685,신사동,4234,2870,1364
20233,11620605,은천동,4644,2204,2440
20233,11650590,방배본동,28234,15628,12606
20233,11680610,대치2동,92377,51697,40680
20233,11680590,삼성2동,62165,35711,26454
20233,11680700,세곡동,1534,879,655
20233,11680650,역삼2동,51209,30365,20844
20233,11680730,일원1동,2518,1370,1148
20233,11680565,청담동,57122,32691,24431
20233,11710531,거여1동,3835,2832,1003
20233,11710647,위례동,1268,1216,52
20233,11710690,잠실4동,9652,7756,1896
20233,11710710,잠실6동,46691,24881,21810
20233,11710650,잠실본동,9422,6016,3406
20233,11710646,장지동,6769,4617,2152
20233,11740590,암사3동,3192,1912,1280
20233,11140670,황학동,1714,1102,612
20233,11140540,회현동,58705,36279,22426
20233,11200690,성수2가3동,23863,15312,8551
20233,11215840,자양3동,3370,2410,960
20233,11260580,상봉1동,2499,1715,784
20233,11260590,상봉2동,5328,3673,1655
20233,11290600,안암동,4686,3030,1656
20233,11320710,방학3동,3005,1804,1201
20233,11320680,쌍문3동,2022,963,1059
20233,11350710,상계9동,2626,1662,964
20233,11350580,월계3동,1502,756,746
20233,11350625,중계2?3동,2225,1256,969
20233,11380580,응암1동,2895,1605,1290
20233,11410615,연희동,14856,9739,5117
20233,11410660,홍은1동,7584,1500,6084
20233,11440600,대흥동,5628,2774,2854
20233,11440700,망원2동,5201,3099,2102
20233,11470611,신월7동,4357,2856,1501
20233,11470630,신정2동,13985,8015,5970
20233,11530550,구로4동,2159,1229,930
20233,11545510,가산동,84451,55529,28922
20233,11545620,독산2동,1789,993,796
20233,11545680,시흥2동,3435,2024,1411
20233,11560585,도림동,1619,1028,591
20233,11560605,문래동,81647,59216,22431
20233,11590660,대방동,11271,7474,3797
20233,11590560,상도4동,2530,1503,1027
20233,11620735,대학동,3077,2250,827
20233,11620665,서림동,1808,1022,786
20233,11650621,방배4동,21837,13492,8345
20233,11650651,양재1동,33395,21554,11841
20233,11680660,개포1동,18376,11295,7081
20233,11680656,도곡2동,192577,131699,60878
20233,11680640,역삼1동,170825,101049,69776
20233,11680720,일원본동,36779,20548,16231
20233,11710550,마천2동,2599,1634,965
20233,11710561,방이1동,9129,6671,2458
20233,11710580,송파1동,8660,5413,3247
20233,11740690,둔촌1동,1519,845,674
20233,11740520,상일동,3611,1827,1784
20233,11110640,이화동,5235,2876,2359
20233,11110680,창신2동,344,116,228
20233,11110560,평창동,23179,12994,10185
20233,11140590,광희동,42508,21177,21331
20233,11140680,중림동,4348,2429,1919
20233,11170650,이태원1동,13034,5712,7322
20233,11170625,한강로동,47142,23273,23869
20233,11215860,구의2동,4204,2612,1592
20233,11215760,중곡3동,1489,932,557
20233,11230560,전농1동,1537,956,581
20233,11230570,전농2동,4013,2089,1924
20233,11260550,면목5동,1080,728,352
20233,11260565,면목본동,1764,942,822
20233,11290810,석관동,3732,2418,1314
20233,11290620,정릉1동,1152,621,531
20233,11305615,수유1동,1920,874,1046
20233,11320522,도봉2동,2128,1350,778
20233,11320511,창1동,1790,815,975
20233,11350600,공릉2동,7078,3252,3826
20233,11350640,상계2동,2484,1209,1275
20233,11350621,중계1동,2169,1191,978
20233,11380552,갈현2동,3915,2012,1903
20233,11380560,구산동,4328,2305,2023
20233,11380530,불광2동,3113,1510,1603
20233,11380590,응암2동,1048,669,379
20233,11410700,남가좌2동,1792,933,859
20233,11410720,북가좌2동,3057,1561,1496
20233,11440655,서강동,6283,3927,2356
20233,11440720,성산1동,5829,3864,1965
20233,11440590,용강동,13701,8118,5583
20233,11470580,신월3동,1679,963,716
20233,11470590,신월4동,1813,1221,592
20233,11500604,가양2동,2849,1494,1355
20233,11500630,방화1동,7575,5922,1653
20233,11500560,화곡3동,5333,3288,2045
20233,11545610,독산1동,12850,8228,4622
20233,11545630,독산3동,4188,2958,1230
20233,11560550,당산1동,9078,5438,3640
20233,11560660,신길4동,1248,617,631
20233,11560680,신길6동,2634,1646,988
20233,11590510,노량진1동,5875,3297,2578
20233,11590540,상도2동,1732,887,845
20233,11620630,남현동,3714,2442,1272
20233,11620575,행운동,4257,2373,1884
20233,11650581,반포4동,94714,83567,11147
20233,11650610,방배2동,16805,8184,8621
20233,11650510,서초1동,47386,26528,20858
20233,11650540,잠원동,16302,9442,6860
20233,11680750,수서동,18037,9516,8521
20233,11710632,가락2동,10171,6862,3309
20233,11710720,잠실7동,14130,6338,7792
20233,11740700,둔촌2동,4961,2239,2722
20233,11110615,종로1?2?3?4가동,97451,53687,43764
20233,11140650,신당5동,871,462,409
20233,11140645,청구동,3104,1714,1390
20233,11170580,효창동,1644,932,712
20233,11200620,금호4가동,1331,791,540
20233,11200670,성수2가1동,10042,6355,3687
20233,11200790,용답동,4708,2845,1863
20233,11200570,행당2동,268,104,164
20233,11215780,능동,2288,1405,883
20233,11230545,제기동,5479,3268,2211
20233,11230710,회기동,784,371,413
20233,11260660,망우3동,1076,573,503
20233,11260620,묵1동,2604,1240,1364
20233,11260610,중화2동,1532,868,664
20233,11290725,월곡2동,4825,3059,1766
20233,11290650,정릉4동,2401,1467,934
20233,11305555,송천동,1900,953,947
20233,11320521,도봉1동,2162,1429,733
20233,11320660,쌍문1동,1769,844,925
20233,11350611,하계1동,4631,2934,1697
20233,11380551,갈현1동,2607,1348,1259
20233,11380510,녹번동,5199,2759,2440
20233,11380650,수색동,1766,1115,651
20233,11380600,응암3동,2243,1094,1149
20233,11380690,진관동,3595,1885,1710
20233,11410555,북아현동,1845,1353,492
20233,11410565,충현동,14173,8784,5389
20233,11440630,신수동,5675,3230,2445
20233,11470540,목4동,2879,1741,1138
20233,11470640,신정3동,7022,4988,2034
20233,11500520,등촌1동,8609,5163,3446
20233,11500510,염창동,19659,9116,10543
20233,11530740,개봉1동,4844,2808,2036
20233,11530530,구로2동,13937,8549,5388
20233,11530540,구로3동,52394,34315,18079
20233,11530800,항동,1601,998,603
20233,11545670,시흥1동,6679,3563,3116
20233,11560560,당산2동,14108,9461,4647
20233,11590630,사당2동,2674,1472,1202
20233,11590640,사당3동,3596,2099,1497
20233,11590605,흑석동,1446,824,622
20233,11620715,난향동,1315,649,666
20233,11620655,신원동,1011,576,435
20233,11620725,조원동,3254,2026,1228
20233,11650550,반포본동,24429,13311,11118
20233,11650530,서초3동,68236,40512,27724
20233,11680690,개포4동,8809,6333,2476
