대중교통,자전거도로수용율,평균경사도,인구,추정교통량,안정성지수평균,자전거이용량,cluster
1,0.14483474165574056,0.6666666666666666,130677.16285541667,908.2,0.068965517,32494,3
2,0.1370510472769117,1.0,443671.52966444445,1117.0,0.25,0,3
1,0.08961904435542818,1.0,443671.52966444445,1117.0,0.175,58340,3
16,0.4289821647666364,3.333333333333333,999073.3747086397,2506.993103448276,0.239583333,156114,1
5,0.07394139373102082,0.6666666666666666,424724.68218877865,481.7931034482759,0.315789474,36756,3
6,0.028945892303135996,4.666666666666667,310687.9574727083,2051.0,0.195652174,0,3
2,0.005799859259898177,3.333333333333333,258517.62108180556,4744.0,0.162162162,13864,3
4,0.0735302008559091,6.666666666666667,258517.62108180556,4744.0,0.173410405,65282,3
9,0.12061666412412127,4.0,159625.2611950694,1477.8333333333333,0.379746835,160154,3
5,0.15990751943029316,7.0,159625.2611950694,1477.8333333333333,0.86746988,90610,0
2,0.1600330151287512,3.0,159625.2611950694,1477.8333333333333,0.081081081,65626,3
10,0.19465384263127072,9.333333333333334,628153.2649402021,7106.696969696969,0.333333333,47808,3
3,0.12218172602669922,2.333333333333333,578590.24302425,1411.1,0.407407407,61934,3
3,0.09483501181692881,0.3333333333333333,214663.89915154167,1387.5,0.288135593,35122,3
0,0.0028079442278464584,1.6666666666666667,578590.24302425,1411.1,0.289473684,0,3
23,0.031586908164672724,12.666666666666666,121389.31615916666,9043.5,0.5,38708,3
4,0.9508554504403053,5.666666666666667,121389.31615916666,9043.5,1.45,7864,1
3,0.6504387944021018,1.3333333333333333,841873.6915430208,4485.25,0.354166667,29792,1
8,0.017764391851211325,6.0,183120.72074322915,2883.5,0.72,0,0
4,0.19424984116110675,9.333333333333334,122541.560731,4690.4,2.6,25150,2
8,0.1424172087091249,9.0,122541.560731,4690.4,1.389240506,71738,2
5,0.12232615942396728,1.0,183120.72074322915,2883.5,0.714285714,54358,3
8,0.05072294575908511,3.333333333333333,1228054.56674775,2856.6,0.476190476,118946,3
1,0.3436490336792934,2.333333333333333,1228054.56674775,2856.6,0.539473684,0,0
22,0.024401407906065303,2.0,1228054.56674775,2856.6,0.659517426,172924,0
32,0.5046965111706544,2.0,1624172.9613308336,62787.0,0.538461538,233758,1
41,0.11316126280522666,9.0,4709906.154082917,24615.0,0.489391796,127214,3
5,0.031480168919846056,7.0,414663.3157408334,6505.75,0.474576271,14960,3
12,0.5141473846594248,2.333333333333333,414663.3157408334,6505.75,0.359375,78130,1
9,0.8510063443255921,3.0,414663.3157408334,6505.75,0.213114754,31324,1
12,0.025081214603290682,4.666666666666667,186629.3786675,14518.0,0.156028369,21000,3
6,0.29419219752123893,5.0,209740.17317010416,2311.75,0.532544379,185788,0
27,0.026995238141346592,4.0,430287.0584409375,6874.75,0.823275862,96706,0
3,0.050244120702342784,3.333333333333333,209740.17317010416,2311.75,1.375,91028,2
29,0.09316568522582121,8.666666666666666,850689.2790258334,16131.0,1.532894737,270106,2
26,0.15051879136676696,9.666666666666666,214914.92271,8206.0,1.974358974,77564,2
72,0.02282847394186811,5.333333333333333,792795.4304816667,27384.0,1.658659924,376518,2
33,0.18335975519558836,8.0,252935.02160125002,7996.0,0.877358491,118832,0
31,0.14774957715052756,12.0,192046.35916541668,29351.0,0.828746177,67662,0
42,0.3530746412117246,7.666666666666667,730108.9736841668,28845.0,0.849710983,115002,0
46,0.23738220151857276,7.0,1412873.6751799998,64896.0,1.374795417,689368,2
52,0.11677195841469748,2.6666666666666665,4552690.1085225,29313.0,1.475903614,851676,2
13,0.36600460511624866,3.0,615869.385284375,36748.5,0.558139535,218038,0
14,0.2496543280928137,6.333333333333333,418477.04256979167,7991.5,0.978453739,255328,0
91,0.17218425842161023,3.6666666666666665,2077161.2656645835,76531.0,0.52625,319228,3
11,0.2335999973668048,4.333333333333333,356569.6798045833,17655.0,0.744402985,255506,0
59,0.13383463900038592,3.6666666666666665,2651357.012729167,48666.0,0.554396423,719742,3
39,0.4306933356409194,2.6666666666666665,2339571.175287917,20040.0,0.298755187,197134,1
64,0.1781549042715838,5.0,2652858.0749620833,77593.0,0.567501227,1533094,3
21,0.07309520622130376,2.0,625708.7970875,19814.0,0.570977918,665256,3
22,0.06685585819724421,4.666666666666667,417546.0146233333,15408.0,0.401851852,574272,3
31,0.023746748202252508,3.333333333333333,1382779.3431572916,7355.5,0.389144434,580582,3
46,0.04562795935133375,9.333333333333334,1366559.8048262498,17495.0,0.668558456,439702,0
60,0.06762214059408608,0.3333333333333333,2384733.9309395836,27977.0,0.386284722,494268,3
24,0.0716398176587062,5.333333333333333,675730.5556829165,12413.0,0.217488789,248802,3
33,0.03751402347198441,6.333333333333333,851866.4410854167,29127.0,0.425414365,343224,3
39,0.03655803027241511,2.6666666666666665,929784.4024591666,23161.0,0.533697632,209322,3
126,0.0606804056284286,8.333333333333334,1711207.1793416669,93974.0,0.48670977,619406,3
34,0.024091203650893383,1.0,1082839.4824866666,17066.0,0.380866426,583716,3
44,0.06575746592817526,1.3333333333333333,574142.7969945833,30343.0,0.302457467,372882,3
54,0.11242761248598995,4.666666666666667,731311.5897079168,19140.0,0.351395731,358702,3
74,0.15302192758735814,5.0,1142235.4358883332,23129.0,0.275362319,370308,3
37,0.020804875898742733,18.33333333333333,604326.1066447917,1459.0,0.222222222,57492,3
5,0.007278552662153913,6.666666666666667,604326.1066447917,1459.0,0.169491525,20636,3
1,0.042480825275637665,6.333333333333333,604326.1066447917,1459.0,0.615384615,39944,0
6,0.011295611441152927,16.0,90693.63447652778,980.0,0.310606061,0,3
5,0.02435496207959831,3.333333333333333,90693.63447652778,980.0,0.849462366,26580,0
7,0.1674742209882146,4.666666666666667,140666.0843330833,1704.6,0.423728814,38246,3
0,0.024653378354919972,11.0,140666.0843330833,1704.6,0.882978723,58880,0
20,0.15690459153135014,6.0,140666.0843330833,1704.6,0.575757576,230316,3
4,0.12675156247023667,1.0,113786.67412851189,1098.571428571429,0.181818182,37186,3
60,0.053497703339310775,14.333333333333334,2065689.3758820833,19114.0,0.454332553,248160,3
49,0.03263057739509759,2.0,824466.0666083333,35579.5,0.5640625,265266,3
11,0.0300792726122118,4.666666666666667,336460.6208529167,9385.0,0.263888889,73104,3
98,0.03293035262995542,3.0,686003.3768941667,25563.0,0.770886076,195870,0
31,0.06658549057700255,3.333333333333333,542732.1816516666,18410.0,0.398543184,259364,3
155,0.018064516020661246,8.666666666666666,1544332.4312016666,46737.0,1.737160121,349886,2
101,0.20615355852704012,5.333333333333333,507448.4,32563.0,1.584632517,411870,2
145,0.027977595165906182,2.333333333333333,1443263.590858125,37000.0,1.746076233,461670,2
92,0.041666543256432015,5.666666666666667,1044138.7950704165,25837.0,0.351449275,303254,3
80,0.08380478298663314,3.6666666666666665,1355116.9535641666,18622.0,0.075630252,407238,3
119,0.0948865500524069,1.0,2084316.7397141666,50088.0,0.220889203,937818,3
82,0.1332781906017126,6.0,607179.9627658334,19285.0,0.228395062,252830,3
110,0.16603794154298204,4.0,931963.7994016667,37104.0,0.345882353,774768,3
101,0.21240299757069475,2.333333333333333,1961056.1416349995,28298.0,0.122205663,1009904,3
54,0.2686793200107896,1.6666666666666667,862669.3296404167,27701.0,0.152727273,454280,3
193,0.3050579759915117,31.33333333333333,3625248.8927202085,120928.0,0.196655133,1891022,3
75,0.22015340965218047,3.6666666666666665,1199377.393860625,25716.0,0.285353535,1234820,3
21,0.007587342611103502,16.333333333333332,250339.50136916665,13649.0,0.569767442,418,3
29,0.01958872416165464,18.666666666666668,725505.0295891666,12473.0,0.717041801,168182,0
63,0.02001736665133781,21.666666666666668,898843.71141125,19235.0,0.55033557,74168,3
